timestamp,power,heat
1615508100,2701,0
1615509000,2686,0
1615509900,2514,0
1615510800,2666,0
1615511700,3260,0
1615512600,2634,0
1615513500,2661,0
1615514400,2531,0
1615515300,2599,0
1615516200,2668,0
1615517100,2491,0
1615518000,2666,0
1615518900,2541,0
1615519800,2575,0
1615520700,1659,0
1615521600,1381,0
1615522500,268,0
1615523400,355,0
1615524300,883,0
1615525200,230,0
1615526100,418,6320
1615527000,283,6320
1615527900,371,6320
1615528800,418,5952
1615529700,243,4912
1615530600,418,4768
1615531500,419,4736
1615532400,420,4720
1615533300,238,4704
1615534200,421,4704
1615535100,417,4688
1615536000,420,4672
1615536900,245,4656
1615537800,418,4640
1615538700,420,4624
1615539600,414,1184
1615540500,245,0
1615541400,419,0
1615542300,418,0
1615543200,247,0
1615544100,408,0
1615545000,366,0
1615545900,295,0
1615546800,420,0
1615547700,262,0
1615548600,388,0
1615549500,417,0
1615550400,236,0
1615551300,416,0
1615552200,419,0
1615553100,236,0
1615554000,418,0
1615554900,418,0
1615555800,253,0
1615556700,400,0
1615557600,420,0
1615558500,242,0
1615559400,422,0
1615560300,422,0
1615561200,241,0
1615562100,423,0
1615563000,234,0
1615563900,424,0
1615564800,376,0
1615565700,273,0
1615566600,419,0
1615567500,336,0
1615568400,309,0
1615569300,411,0
1615570200,411,0
1615571100,228,0
1615572000,415,0
1615572900,385,0
1615573800,268,0
1615574700,423,0
1615575600,279,0
1615576500,374,0
1615577400,419,0
1615578300,231,0
1615579200,425,2336
1615580100,276,2320
1615581000,388,0
1615581900,359,0
1615582800,1352,2352
1615583700,1390,6320
1615584600,1411,6320
1615585500,1323,6320
1615586400,1503,5360
1615587300,1338,0
1615588200,1594,0
1615589100,2399,0
1615590000,1760,0
1615590900,2524,0
1615591800,2655,0
1615592700,2713,0
1615593600,2535,0
1615594500,2716,0
1615595400,2717,0
1615596300,2535,0
1615597200,2707,0
1615598100,2702,0
1615599000,2533,0
1615599900,2718,0
1615600800,2704,0
1615601700,2763,0
1615602600,3256,0
1615603500,2714,0
1615604400,2554,0
1615605300,2707,0
1615606200,2115,0
1615607100,1329,0
1615608000,1414,0
1615608900,233,0
1615609800,414,0
1615610700,351,0
1615611600,303,0
1615612500,424,6320
1615613400,243,6320
1615614300,427,6320
1615615200,270,5840
1615616100,389,4800
1615617000,421,4656
1615617900,234,4640
1615618800,415,4624
1615619700,417,4608
1615620600,231,4592
1615621500,417,4576
1615622400,415,4576
1615623300,414,4560
1615624200,229,4544
1615625100,414,4528
1615626000,412,928
1615626900,411,0
1615627800,294,0
1615628700,347,0
1615629600,408,0
1615630500,308,0
1615631400,328,0
1615632300,415,0
1615633200,268,0
1615634100,371,0
1615635000,345,0
1615635900,301,0
1615636800,412,0
1615637700,234,0
1615638600,413,0
1615639500,415,0
1615640400,295,0
1615641300,347,0
1615642200,417,0
1615643100,324,0
1615644000,329,0
1615644900,298,0
1615645800,355,0
1615646700,252,0
1615647600,400,0
1615648500,234,0
1615649400,421,0
1615650300,236,0
1615651200,416,0
1615652100,237,0
1615653000,413,0
1615653900,341,0
1615654800,311,0
1615655700,415,0
1615656600,240,0
1615657500,421,0
1615658400,314,0
1615659300,346,0
1615660200,422,0
1615661100,242,0
1615662000,420,1872
1615662900,418,6320
1615663800,242,1808
1615664700,424,1808
1615665600,405,1808
1615666500,262,0
1615667400,421,1840
1615668300,421,6320
1615669200,1370,6320
1615670100,1420,6304
1615671000,1501,5136
1615671900,552,4640
1615672800,335,1088
1615673700,296,0
1615674600,353,0
1615675500,403,0
1615676400,243,0
1615677300,2045,0
1615678200,2649,0
1615679100,2639,0
1615680000,2723,0
1615680900,2644,0
1615681800,2628,0
1615682700,2647,0
1615683600,3317,0
1615684500,2838,0
1615685400,2684,0
1615686300,2542,0
1615687200,2705,0
1615688100,2548,0
1615689000,2678,0
1615689900,2566,0
1615690800,2690,0
1615691700,2701,0
1615692600,1746,0
1615693500,1192,0
1615694400,412,0
1615695300,239,0
1615696200,413,0
1615697100,411,0
1615698000,398,0
1615698900,269,6320
1615699800,426,6320
1615700700,329,6320
1615701600,334,5760
1615702500,420,4720
1615703400,419,4592
1615704300,416,4576
1615705200,331,4560
1615706100,322,4544
1615707000,415,4544
1615707900,421,4528
1615708800,301,4528
1615709700,362,4512
1615710600,424,4496
1615711500,311,4496
1615712400,349,816
1615713300,425,0
1615714200,268,0
1615715100,392,0
1615716000,412,0
1615716900,246,0
1615717800,427,0
1615718700,242,0
1615719600,423,0
1615720500,350,0
1615721400,313,0
1615722300,378,0
1615723200,295,0
1615724100,430,0
1615725000,417,0
1615725900,244,0
1615726800,422,0
1615727700,423,0
1615728600,422,0
1615729500,395,0
1615730400,272,0
1615731300,423,0
1615732200,424,0
1615733100,284,0
1615734000,369,0
1615734900,372,0
1615735800,273,0
1615736700,420,0
1615737600,221,0
1615738500,418,0
1615739400,287,0
1615740300,343,0
1615741200,356,0
1615742100,275,0
1615743000,417,0
1615743900,208,0
1615744800,421,0
1615745700,209,0
1615746600,421,2032
1615747500,227,2032
1615748400,403,0
1615749300,208,0
1615750200,420,2096
1615751100,257,2080
1615752000,373,0
1615752900,328,0
1615753800,305,0
1615754700,393,2176
1615755600,1316,6320
1615756500,1492,6320
1615757400,1293,6320
1615758300,1505,5376
1615759200,385,1440
1615760100,373,0
1615761000,330,0
1615761900,296,0
1615762800,1289,0
1615763700,2153,0
1615764600,2705,0
1615765500,2563,0
1615766400,2725,0
1615767300,2530,0
1615768200,2720,0
1615769100,2556,0
1615770000,3462,0
1615770900,2542,0
1615771800,2721,0
1615772700,2521,0
1615773600,2713,0
1615774500,2521,0
1615775400,2730,0
1615776300,2528,0
1615777200,2728,0
1615778100,2516,0
1615779000,2553,0
1615779900,468,0
1615780800,379,0
1615781700,241,0
1615782600,622,0
1615783500,661,0
1615784400,421,0
1615785300,221,6320
1615786200,418,6320
1615787100,219,6320
1615788000,391,5888
1615788900,247,4864
1615789800,365,4704
1615790700,274,4688
1615791600,416,4672
1615792500,224,4672
1615793400,418,4656
1615794300,219,4640
1615795200,377,4624
1615796100,271,4624
1615797000,421,4608
1615797900,319,4592
1615798800,337,1088
1615799700,424,0
1615800600,255,0
1615801500,409,0
1615802400,427,0
1615803300,430,0
1615804200,248,0
1615805100,433,0
1615806000,425,0
1615806900,424,0
1615807800,242,0
1615808700,418,0
1615809600,413,0
1615810500,288,0
1615811400,363,0
1615812300,331,0
1615813200,298,0
1615814100,418,0
1615815000,225,0
1615815900,419,0
1615816800,267,0
1615817700,396,0
1615818600,423,0
1615819500,424,0
1615820400,268,0
1615821300,411,0
1615822200,428,0
1615823100,403,0
1615824000,274,0
1615824900,424,0
1615825800,425,0
1615826700,285,0
1615827600,383,0
1615828500,414,0
1615829400,411,0
1615830300,387,0
1615831200,277,0
1615832100,417,0
1615833000,420,0
1615833900,378,0
1615834800,295,0
1615835700,421,0
1615836600,413,0
1615837500,259,0
1615838400,423,2688
1615839300,423,6320
1615840200,423,6320
1615841100,434,6320
1615842000,1480,5536
1615842900,1489,4880
1615843800,1499,4800
1615844700,1511,4800
1615845600,595,1696
1615846500,419,0
1615847400,419,0
1615848300,420,0
1615849200,952,0
1615850100,1764,0
1615851000,2746,0
1615851900,2749,0
1615852800,2753,0
1615853700,2724,0
1615854600,2722,0
1615855500,2720,0
1615856400,3071,0
1615857300,3203,0
1615858200,2735,0
1615859100,2732,0
1615860000,2734,0
1615860900,2720,0
1615861800,2713,0
1615862700,2718,0
1615863600,2729,0
1615864500,2728,0
1615865400,1353,0
1615866300,412,0
1615867200,409,0
1615868100,404,0
1615869000,603,0
1615869900,643,0
1615870800,421,0
1615871700,422,6320
1615872600,247,6320
1615873500,420,6320
1615874400,417,6000
1615875300,245,4976
1615876200,419,4800
1615877100,420,4784
1615878000,243,4784
1615878900,424,4768
1615879800,422,4768
1615880700,247,4752
1615881600,427,4752
1615882500,245,4736
1615883400,419,4720
1615884300,246,4704
1615885200,430,1392
1615886100,424,0
1615887000,424,0
1615887900,246,0
1615888800,428,0
1615889700,428,0
1615890600,426,0
1615891500,425,0
1615892400,246,0
1615893300,426,0
1615894200,378,0
1615895100,286,0
1615896000,424,0
1615896900,247,0
1615897800,423,0
1615898700,281,0
1615899600,382,0
1615900500,412,0
1615901400,263,0
1615902300,429,0
1615903200,423,0
1615904100,253,0
1615905000,422,0
1615905900,419,0
1615906800,423,0
1615907700,431,0
1615908600,429,0
1615909500,236,0
1615910400,425,0
1615911300,426,0
1615912200,424,0
1615913100,230,0
1615914000,419,0
1615914900,416,0
1615915800,227,0
1615916700,409,0
1615917600,414,0
1615918500,221,0
1615919400,422,0
1615920300,224,0
1615921200,420,0
1615922100,238,0
1615923000,398,0
