timestamp,power_81m41px8v6,power_ss152iu581,soc_ss152iu581,power_ee8b68u2v0,price,power_9907ns428gduplicate,power_208140qdk8duplicate,wind_speed_ee8b68u2v0,price_energy_levies_positive,price_energy_levies_negative,power_9907ns428g,power_208140qdk8
1616604300,,0.0,0.0,0.0,2.88,-318.42857142857144,0.10407894736842102,2.57,0.0,0.18,-318.42857142857144,0.10407894736842102
1616605200,,0.0,0.0,0.0,2.88,-484.7142857142857,0.07269736842105261,2.57,0.0,0.18,-484.7142857142857,0.07269736842105261
1616606100,,0.0,0.0,0.0,2.88,-321.42857142857144,0.0464473684210526,2.57,0.0,0.18,-321.42857142857144,0.0464473684210526
1616607000,,0.0,0.0,0.0,2.88,-321.57142857142856,0.03138157894736839,2.57,0.0,0.18,-321.57142857142856,0.03138157894736839
1616607900,,0.0,0.0,0.0,2.88,-308.2857142857143,0.021184210526315764,2.57,0.0,0.18,-308.2857142857143,0.021184210526315764
1616608800,,0.0,0.0,0.0,2.88,-335.2857142857143,0.013552631578947342,0.62,0.0,0.18,-335.2857142857143,0.013552631578947342
1616609700,,0.0,0.0,0.0,2.88,-393.7142857142857,0.006513157894736821,0.62,0.0,0.18,-393.7142857142857,0.006513157894736821
1616610600,,0.0,0.0,0.0,2.88,-361.14285714285717,0.004473684210526295,0.62,0.0,0.18,-361.14285714285717,0.004473684210526295
1616611500,,0.0,0.0,0.0,2.88,-347.2857142857143,0.0027631578947368263,0.62,0.0,0.18,-347.2857142857143,0.0027631578947368263
1616612400,,0.0,0.0,0.0,2.88,-353.14285714285717,0.0014473684210526212,1.51,0.0,0.18,-353.14285714285717,0.0014473684210526212
1616613300,,0.0,0.0,0.0,2.88,-404.14285714285717,0.0005921052631578895,1.51,0.0,0.18,-404.14285714285717,0.0005921052631578895
1616614200,,0.0,0.0,0.0,2.88,-374.57142857142856,0.00013157894736842105,1.51,0.0,0.18,-374.57142857142856,0.00013157894736842105
1616615100,,0.0,0.0,0.0,2.88,-351.2857142857143,0.0,1.51,0.0,0.18,-351.2857142857143,0.0
1616616000,,0.0,0.0,0.0,2.88,-366.2857142857143,0.0,1.95,0.0,0.18,-366.2857142857143,0.0
1616616900,,0.0,0.0,0.0,2.88,-430.0,0.0,1.95,0.0,0.18,-430.0,0.0
1616617800,,0.0,0.0,0.0,2.88,-463.14285714285717,0.0,1.95,0.0,0.18,-463.14285714285717,0.0
1616618700,,0.0,0.0,0.0,2.88,-489.85714285714283,0.0,1.95,0.0,0.18,-489.85714285714283,0.0
1616619600,,0.0,0.0,0.0,2.88,-436.85714285714283,0.0,2.16,0.0,0.18,-436.85714285714283,0.0
1616620500,,0.0,0.0,0.0,2.88,-361.7142857142857,0.0,2.16,0.0,0.18,-361.7142857142857,0.0
1616621400,,0.0,0.0,0.0,2.88,-329.85714285714283,0.0,2.16,0.0,0.18,-329.85714285714283,0.0
1616622300,,0.0,0.0,0.0,2.88,-304.42857142857144,0.0,2.16,0.0,0.18,-304.42857142857144,0.0
1616623200,,0.0,0.0,0.0,2.88,-326.7142857142857,0.0,2.26,0.0,0.18,-326.7142857142857,0.0
1616624100,,0.0,0.0,0.0,2.88,-379.0,0.0,2.26,0.0,0.18,-379.0,0.0
1616625000,,0.0,0.0,0.0,2.88,-399.85714285714283,0.0,2.26,0.0,0.18,-399.85714285714283,0.0
1616625900,,0.0,0.0,0.0,2.88,-351.42857142857144,0.0,2.26,,,-351.42857142857144,0.0
1616626800,,0.0,0.0,0.0,2.88,,,2.22,,,-350.7142857142857,0.0
1616627700,,,,,,,,,,,-363.2857142857143,0.0
1616628600,,,,,,,,,,,-327.7142857142857,0.0
1616629500,,,,,,,,,,,-305.14285714285717,0.0
